paper_id,ss_venue_id,year
0007cd4870abff3c79537a4722d2f6365eb5468f,22ec40a8-789e-409e-9d35-81ffe1f31951,2020
0007cd4870abff3c79537a4722d2f6365eb5468f,b876c7b3-79b5-4397-8107-4235220ee738,2023
0009c4975fcb502a4af0e53d46ec6255c13216a1,b124218f-e44e-4d21-bbf2-b6872492dca9,2023
0009c4975fcb502a4af0e53d46ec6255c13216a1,e3433f10-fd70-490b-a309-5f3155762fe8,2024
0009c4975fcb502a4af0e53d46ec6255c13216a1,efeb0b98-ce57-4b46-a7ac-4f6fb7553eff,2020
0009c4975fcb502a4af0e53d46ec6255c13216a1,f55ce1d0-fca1-40bb-8797-9a9b7dcbb7a7,2019
000cd7ac3435007cca292fc8f1bac86b7a066467,995081c6-1481-45d0-b9a0-1c39022641c0,2022
000cd7ac3435007cca292fc8f1bac86b7a066467,e2821e49-dfc0-430e-a39c-96051824050a,2021
000cd7ac3435007cca292fc8f1bac86b7a066467,4bfa4a6c-5e74-4827-8db7-e1354f877ca8,2020
000cd7ac3435007cca292fc8f1bac86b7a066467,5bcc0d81-25d6-49c9-9025-7b190d8fa5df,2019
000cd7ac3435007cca292fc8f1bac86b7a066467,3da76c2b-bb2e-43cf-8bf1-dd1ed20dcb01,2021
0014e3f6909edbbf8e4d417baf2b991ffbc2909e,0aacb661-34b6-44c2-b770-58dd8aa7192d,2024
0014e3f6909edbbf8e4d417baf2b991ffbc2909e,c24c1bd0-6dab-425f-8523-260111e7adb2,2019
0014e3f6909edbbf8e4d417baf2b991ffbc2909e,b02e5826-3435-4c96-aa72-0e9a382a5b37,2021
0014e3f6909edbbf8e4d417baf2b991ffbc2909e,35b7f3e4-9c76-4ee7-a48c-af10d6097301,2020
0014e3f6909edbbf8e4d417baf2b991ffbc2909e,e5ed3bb9-2059-4fe4-ac85-b303d93fc84e,2020
0014e3f6909edbbf8e4d417baf2b991ffbc2909e,c3150227-eb1c-4049-94cd-a88f1768d779,2023
0018e888e83bfd993bc49455a8787577ab28a19c,22ec40a8-789e-409e-9d35-81ffe1f31951,2023
0018e888e83bfd993bc49455a8787577ab28a19c,b876c7b3-79b5-4397-8107-4235220ee738,2023
0018e888e83bfd993bc49455a8787577ab28a19c,74be5bfb-0aba-4866-bad1-118d24508bfb,2022
0018e888e83bfd993bc49455a8787577ab28a19c,cc334c7e-a268-4ab9-b442-75f7adff8272,2021
